Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,e(x),e(x)Orig
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,70.58,70.65
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,75.07,75.14
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,70.62,70.69
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,75.11,75.22
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,70.73,70.83
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,75.32,75.48
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,71,71.12
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,75.61,75.82
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,71.26,71.4
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,75.81,76.03
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,71.42,71.57
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,75.89,76.11
MYS,0,0,0,0,1,1488.07,2007,2007,4,1,71.45,71.65
MYS,0,0,0,0,1,1488.07,2007,2007,4,2,75.94,76.15
MYS,0,0,0,0,1,1525.01,2008,2008,4,1,71.46,71.57
MYS,0,0,0,0,1,1525.01,2008,2008,4,2,76.19,76.4
MYS,0,0,0,0,1,1525.06,2009,2009,4,1,71.51,71.63
MYS,0,0,0,0,1,1525.06,2009,2009,4,2,76.28,76.51
MYS,0,0,0,0,1,1525.11,2010,2010,4,1,71.75,71.89
MYS,0,0,0,0,1,1525.11,2010,2010,4,2,76.64,76.95
MYS,0,0,0,0,1,1489.01,2011,2011,4,1,71.92,72.12
MYS,0,0,0,0,1,1489.01,2011,2011,4,2,76.45,76.77
MYS,0,0,0,0,1,1489.02,2012,2012,4,1,72.3,72.29
MYS,0,0,0,0,1,1489.02,2012,2012,4,2,76.61,76.95
MYS,0,0,0,0,1,1489.03,2013,2013,4,1,72.47,72.47
MYS,0,0,0,0,1,1489.03,2013,2013,4,2,76.72,77.11
MYS,0,0,0,0,1,1489.04,2014,2014,4,1,72.51,72.54
MYS,0,0,0,0,1,1489.04,2014,2014,4,2,76.78,77.21
MYS,0,0,0,0,1,1490.01,2015,2015,4,1,72.49,72.49
MYS,0,0,0,0,1,1490.01,2015,2015,4,2,76.68,77.08
MYS,0,0,0,0,1,1490.02,2016,2016,4,1,72.54,72.55
MYS,0,0,0,0,1,1490.02,2016,2016,4,2,76.79,77.23
MYS,0,0,0,0,1,1490.03,2017,2017,4,1,72.64,72.66
MYS,0,0,0,0,1,1490.03,2017,2017,4,2,76.89,77.36
MYS,0,0,0,0,1,1491.01,2018,2018,4,1,71.94,72.17
MYS,0,0,0,0,1,1491.01,2018,2018,4,2,76.69,77.12
MYS,0,0,0,0,1,1491.02,2019,2019,4,1,71.93,72.16
MYS,0,0,0,0,1,1491.02,2019,2019,4,2,76.78,77.25
MYS,0,0,0,0,1,1492.01,2020,2020,4,1,72.59,72.61
MYS,0,0,0,0,1,1492.01,2020,2020,4,2,77.04,77.57
MYS,10,0,0,0,1,1493.03,2001,2001,4,1,70.36,70.44
MYS,10,0,0,0,1,1493.03,2001,2001,4,2,75,75.1
MYS,10,0,0,0,1,1493.2,2002,2002,4,1,70.46,70.57
MYS,10,0,0,0,1,1493.2,2002,2002,4,2,75,75.12
MYS,10,0,0,0,1,1493.37,2003,2003,4,1,70.63,70.74
MYS,10,0,0,0,1,1493.37,2003,2003,4,2,75.23,75.4
MYS,10,0,0,0,1,1493.54,2004,2004,4,1,70.86,71.01
MYS,10,0,0,0,1,1493.54,2004,2004,4,2,75.47,75.68
MYS,10,0,0,0,1,1494.02,2005,2005,4,1,70.99,71.15
MYS,10,0,0,0,1,1494.02,2005,2005,4,2,75.64,75.88
MYS,10,0,0,0,1,1494.19,2006,2006,4,1,70.99,71.14
MYS,10,0,0,0,1,1494.19,2006,2006,4,2,75.66,75.89
MYS,10,0,0,0,1,1494.36,2007,2007,4,1,70.93,71.07
MYS,10,0,0,0,1,1494.36,2007,2007,4,2,75.68,75.91
MYS,0,0,0,0,1,1525.16,2008,2008,4,1,70.94,71.03
MYS,0,0,0,0,1,1525.16,2008,2008,4,2,76.04,76.26
MYS,10,0,0,0,1,1525.3,2009,2009,4,1,70.97,71.08
MYS,10,0,0,0,1,1525.3,2009,2009,4,2,76.22,76.49
MYS,10,0,0,0,1,1525.44,2010,2010,4,1,71.28,71.42
MYS,10,0,0,0,1,1525.44,2010,2010,4,2,76.64,77.01
MYS,10,0,0,0,1,1497.02,2011,2011,4,1,71.73,71.96
MYS,10,0,0,0,1,1497.02,2011,2011,4,2,76.29,76.63
MYS,10,0,0,0,1,1497.2,2012,2012,4,1,72,72.26
MYS,10,0,0,0,1,1497.2,2012,2012,4,2,76.46,76.83
MYS,10,0,0,0,1,1497.38,2013,2013,4,1,72.07,72.38
MYS,10,0,0,0,1,1497.38,2013,2013,4,2,76.61,77.03
MYS,10,0,0,0,1,1498.02,2014,2014,4,1,71.84,72.08
MYS,10,0,0,0,1,1498.02,2014,2014,4,2,76.53,76.95
MYS,10,0,0,0,1,1495.02,2015,2015,4,1,71.89,72.15
MYS,10,0,0,0,1,1495.02,2015,2015,4,2,76.54,76.98
MYS,10,0,0,0,1,1496.01,2016,2016,4,1,71.69,71.93
MYS,10,0,0,0,1,1496.01,2016,2016,4,2,76.44,76.88
MYS,10,0,0,0,1,1946.15,2017,2017,4,1,71.74,71.98
MYS,10,0,0,0,1,1946.15,2017,2017,4,2,76.54,76.99
MYS,10,0,0,0,1,1496.29,2018,2018,4,1,72.03,72.31
MYS,10,0,0,0,1,1496.29,2018,2018,4,2,76.89,77.41
MYS,10,0,0,0,1,1491.03,2019,2019,4,1,71.52,71.75
MYS,10,0,0,0,1,1491.03,2019,2019,4,2,76.76,77.28
MYS,10,0,0,0,1,1492.02,2020,2020,4,1,71.86,72.15
MYS,10,0,0,0,1,1492.02,2020,2020,4,2,76.62,77.14
MYS,20,0,0,0,1,1493.04,2001,2001,4,1,69.2,69.2
MYS,20,0,0,0,1,1493.04,2001,2001,4,2,74.33,74.35
MYS,20,0,0,0,1,1493.21,2002,2002,4,1,69.04,69.05
MYS,20,0,0,0,1,1493.21,2002,2002,4,2,74.19,74.21
MYS,20,0,0,0,1,1493.38,2003,2003,4,1,69.14,69.15
MYS,20,0,0,0,1,1493.38,2003,2003,4,2,74.42,74.48
MYS,20,0,0,0,1,1493.55,2004,2004,4,1,69.47,69.51
MYS,20,0,0,0,1,1493.55,2004,2004,4,2,74.7,74.82
MYS,20,0,0,0,1,1494.03,2005,2005,4,1,69.74,69.77
MYS,20,0,0,0,1,1494.03,2005,2005,4,2,75.01,75.17
